
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,468 K
Secure System                  140 Services                   0     32,144 K
Registry                       180 Services                   0     31,512 K
smss.exe                       732 Services                   0        548 K
csrss.exe                     1084 Services                   0      2,964 K
wininit.exe                   1240 Services                   0      1,184 K
csrss.exe                     1260 Console                    1      6,024 K
winlogon.exe                  1344 Console                    1      5,700 K
services.exe                  1364 Services                   0      8,640 K
LsaIso.exe                    1408 Services                   0      1,880 K
lsass.exe                     1424 Services                   0     18,768 K
svchost.exe                   1548 Services                   0     26,736 K
fontdrvhost.exe               1576 Console                    1      3,884 K
fontdrvhost.exe               1584 Services                   0        940 K
WUDFHost.exe                  1592 Services                   0     15,456 K
svchost.exe                   1716 Services                   0     14,756 K
WUDFHost.exe                  1836 Services                   0      1,900 K
svchost.exe                   1896 Services                   0     65,872 K
svchost.exe                   1904 Services                   0     22,388 K
svchost.exe                   1924 Services                   0     31,680 K
svchost.exe                   1936 Services                   0      6,560 K
svchost.exe                   2044 Services                   0     19,524 K
svchost.exe                   1088 Services                   0      6,492 K
svchost.exe                   2012 Services                   0     25,040 K
WUDFHost.exe                  2056 Services                   0      2,292 K
svchost.exe                   2132 Services                   0      6,484 K
svchost.exe                   2240 Services                   0      4,732 K
svchost.exe                   2288 Services                   0     11,960 K
svchost.exe                   2384 Services                   0     18,412 K
svchost.exe                   2392 Services                   0     12,680 K
dwm.exe                       2408 Console                    1     62,300 K
WUDFHost.exe                  2584 Services                   0      6,732 K
svchost.exe                   2908 Services                   0      9,980 K
YMC.exe                       2512 Services                   0      6,156 K
svchost.exe                   2640 Services                   0     29,928 K
amdfendrsr.exe                3220 Services                   0      2,596 K
atiesrxx.exe                  3232 Services                   0      2,692 K
atieclxx.exe                  3444 Console                    1      7,840 K
svchost.exe                   3564 Services                   0     20,024 K
svchost.exe                   3664 Services                   0     10,092 K
WTabletServiceISD.exe         3692 Services                   0      2,220 K
svchost.exe                   3856 Services                   0      4,124 K
svchost.exe                   3932 Services                   0      9,464 K
spoolsv.exe                   3976 Services                   0      8,660 K
svchost.exe                   4028 Services                   0     13,484 K
svchost.exe                   3688 Services                   0      2,728 K
LNBITSSvc.exe                 4264 Services                   0      8,116 K
mDNSResponder.exe             4268 Services                   0      3,568 K
DAX3API.exe                   4280 Services                   0      9,596 K
AppleMobileDeviceService.     4288 Services                   0      8,216 K
FMService64.exe               4316 Services                   0      2,372 K
svchost.exe                   4324 Services                   0     28,492 K
Lenovo.Modern.ImControlle     4336 Services                   0     29,020 K
VoiceAssistantService.exe     4344 Services                   0      8,152 K
OVRServiceLauncher.exe        4352 Services                   0      5,620 K
RtkAudUService64.exe          4360 Services                   0      5,392 K
RtkBtManServ.exe              4364 Services                   0      4,000 K
mc-fw-host.exe                4376 Services                   0     87,956 K
servicehost.exe               4396 Services                   0     30,684 K
SessionService.exe            4404 Services                   0      1,372 K
MpDefenderCoreService.exe     4476 Services                   0     11,968 K
SmartNote.Service.exe         4488 Services                   0      3,180 K
svchost.exe                   4532 Services                   0      5,004 K
MsMpEng.exe                   4680 Services                   0     58,200 K
UDClientService.exe           4824 Services                   0     22,972 K
gamingservicesnet.exe         4104 Services                   0        660 K
gamingservices.exe            4176 Services                   0     25,684 K
unsecapp.exe                  5564 Services                   0      5,128 K
WmiPrvSE.exe                  6388 Services                   0     22,280 K
AggregatorHost.exe            1404 Services                   0      4,204 K
mc-neo-host.exe               8188 Services                   0      8,236 K
svchost.exe                   8948 Services                   0     16,272 K
SystemNotificationPlugin.     8492 Services                   0     15,420 K
conhost.exe                   8500 Services                   0      1,864 K
AppProvisioningPlugin.exe     7788 Services                   0     12,388 K
conhost.exe                   7716 Services                   0      1,832 K
DAX3API.exe                   2092 Console                    1      4,528 K
AutoModeDetect.exe            9300 Console                    1      6,172 K
uihost.exe                    2968 Console                    1     16,760 K
conhost.exe                   3580 Console                    1      2,284 K
WTabletServiceISD.exe         3748 Console                    1     13,276 K
mc-fw-host.exe                8868 Console                    1     15,772 K
